trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
10752,2019,IN,IN,RETA1,RAWMI,1012.53,34899814.201,12.0,12.0,34899814.201,190436.556,34709377.645,34467.931025
1449,2019,IN,IN,BUSIN,MEMBE,931.21,34764908.805,12.0,12.0,34764908.805,207597.032,34557311.773,37333.049264
6589,2019,IN,IN,LEATH,TEXTI,989.59,34555806.364,12.0,12.0,34555806.364,210355.929,34345450.436,34919.316448
8767,2019,IN,IN,PFERT,PLANT,1104.0,34377417.639,12.0,12.0,34377417.639,199948.69,34177468.95,31138.965253
10778,2019,IN,IN,RETA1,WEARI,1742.07,34354656.326,12.0,12.0,34354656.326,334947.653,34019708.672,19720.594652
6369,2019,IN,IN,LANDT,RETA1,1221.49,34293899.562,12.0,12.0,34293899.562,237473.876,34056425.686,28075.464852
4584,2019,IN,IN,FINAN,MEMBE,1313.49,34085220.229,12.0,12.0,34085220.229,303077.827,33782142.403,25950.1178
9295,2019,IN,IN,PREC1,MOTO1,791.21,34077675.931,12.0,12.0,34077675.931,140174.955,33937500.976,43070.330166
7655,2019,IN,IN,MOTOR,NAPHT,1200.65,33844758.413,12.0,12.0,33844758.413,184949.113,33659809.3,28188.696467
7784,2019,IN,IN,NATU1,GASDI,734.46,33560674.309,12.0,12.0,33560674.309,73870.257,33486804.052,45694.352734
1944,2019,IN,IN,CHEM1,PLAST,953.7,33348468.78,12.0,12.0,33348468.78,148434.552,33200034.229,34967.462284
5817,2019,IN,IN,HEALT,RAILW,761.38,33248960.024,12.0,12.0,33248960.024,97520.544,33151439.48,43669.337288
4477,2019,IN,IN,FABRI,PUBLI,973.23,33219003.63,12.0,12.0,33219003.63,168375.305,33050628.325,34132.736999
1484,2019,IN,IN,BUSIN,RETA1,1361.0,33208027.997,12.0,12.0,33208027.997,281072.939,32926955.057,24399.726669
9990,2019,IN,IN,RAILW,FISH5,894.09,33202470.588,12.0,12.0,33202470.588,72387.312,33130083.276,37135.490373
5903,2019,IN,IN,HOTEL,HOTEL,892.16,33171875.946,12.0,12.0,33171875.946,152714.689,33019161.257,37181.5324
1935,2019,IN,IN,CHEM1,OFFIC,993.26,33011415.393,12.0,12.0,33011415.393,145064.149,32866351.245,33235.422138
9269,2019,IN,IN,PREC1,FABRI,1095.95,32997723.117,12.0,12.0,32997723.117,101312.23,32896410.888,30108.785179
2749,2019,IN,IN,CROPS,CONST,856.91,32822036.072,12.0,12.0,32822036.072,146365.277,32675670.795,38302.781006
6252,2019,IN,IN,LANDT,ANIMA,880.89,32604049.806,12.0,12.0,32604049.806,219650.824,32384398.982,37012.623376
2545,2019,IN,IN,CONST,LANDT,1420.31,32039686.975,12.0,12.0,32039686.975,137787.977,31901898.997,22558.235156
6303,2019,IN,IN,LANDT,FOUND,987.97,32001952.375,12.0,12.0,32001952.375,173108.667,31828843.708,32391.623607
2652,2019,IN,IN,COPP1,FABRI,1093.91,31984626.565,12.0,12.0,31984626.565,181352.369,31803274.196,29238.809925
11730,2019,IN,IN,SUPPO,PUBLI,694.5,31968880.475,12.0,12.0,31968880.475,132950.471,31835930.004,46031.505364
10965,2019,IN,IN,RUBBE,FURNI,1416.14,31517158.619,12.0,12.0,31517158.619,221793.435,31295365.184,22255.67996
5496,2019,IN,IN,GASDI,REALE,783.05,31470412.528,12.0,12.0,31470412.528,122437.598,31347974.931,40189.531356
534,2019,IN,IN,AUXIL,CONST,745.36,31431165.983,12.0,12.0,31431165.983,128237.299,31302928.684,42169.107523
5297,2019,IN,IN,FURNI,EDUCA,1033.54,31383091.865,12.0,12.0,31383091.865,132154.733,31250937.132,30364.661131
6279,2019,IN,IN,LANDT,COPP1,842.22,31319001.004,12.0,12.0,31319001.004,198815.358,31120185.646,37186.247066
9856,2019,IN,IN,RADIO,COMPU,1294.58,31297441.898,12.0,12.0,31297441.898,193006.871,31104435.027,24175.749585
5966,2019,IN,IN,HOTEL,SUPPO,1397.31,31247853.623,12.0,12.0,31247853.623,255298.552,30992555.071,22362.864091
1168,2019,IN,IN,BITUM,FABRI,1002.72,31091879.541,12.0,12.0,31091879.541,195759.838,30896119.703,31007.539035
9075,2019,IN,IN,POSTT,BUSIN,1152.98,31087567.831,12.0,12.0,31087567.831,127675.954,30959891.876,26962.798861
3397,2019,IN,IN,ELEC1,TEXTI,841.5,31073320.818,12.0,12.0,31073320.818,182367.58,30890953.238,36926.109112
3399,2019,IN,IN,ELEC1,TRAN1,772.25,30832136.156,12.0,12.0,30832136.156,125766.861,30706369.295,39925.071099
1950,2019,IN,IN,CHEM1,PUBLI,1339.52,30733213.552,12.0,12.0,30733213.552,190523.6,30542689.951,22943.452544
1938,2019,IN,IN,CHEM1,PAPER,803.93,30733168.936,12.0,12.0,30733168.936,122728.01,30610440.925,38228.662864
12860,2019,IN,IN,WHOLE,CEMEN,921.59,30581714.895,12.0,12.0,30581714.895,172175.056,30409539.839,33183.644457
6268,2019,IN,IN,LANDT,CERAM,960.58,30480936.796,12.0,12.0,30480936.796,206705.26,30274231.537,31731.804531
10589,2019,IN,IN,RENTI,RETA1,854.42,30419567.937,12.0,12.0,30419567.937,139782.564,30279785.374,35602.593499
6352,2019,IN,IN,LANDT,POSTT,732.28,30271267.118,12.0,12.0,30271267.118,113050.277,30158216.84,41338.377558
5672,2019,IN,IN,GLASS,MOTO1,756.93,30223943.278,12.0,12.0,30223943.278,118315.333,30105627.945,39929.641153
1976,2019,IN,IN,CHEM1,WHOLE,971.86,30167769.081,12.0,12.0,30167769.081,186898.889,29980870.192,31041.270431
5739,2019,IN,IN,HEALT,COMPU,897.94,30061023.822,12.0,12.0,30061023.822,167973.535,29893050.287,33477.764463
6388,2019,IN,IN,LANDT,WEARI,1562.85,30041168.124,12.0,12.0,30041168.124,216148.564,29825019.56,19222.041862
3150,2019,IN,IN,DISTR,POSTT,689.84,29718570.582,12.0,12.0,29718570.582,81046.891,29637523.691,43080.381802
12342,2019,IN,IN,VEGE1,FISH5,852.95,29598940.298,12.0,12.0,29598940.298,166325.73,29432614.569,34701.846882
5479,2019,IN,IN,GASDI,OILSE,918.5,29448024.253,12.0,12.0,29448024.253,121889.378,29326134.875,32060.995376
10642,2019,IN,IN,RETA1,ANIMA,1013.69,29438631.422,12.0,12.0,29438631.422,215249.554,29223381.868,29041.05932
2770,2019,IN,IN,CROPS,HOTEL,934.71,29419548.485,12.0,12.0,29419548.485,182352.852,29237195.633,31474.519889
5180,2019,IN,IN,FOUND,COPP1,872.72,29407510.76,12.0,12.0,29407510.76,152182.825,29255327.934,33696.386882
9975,2019,IN,IN,RAILW,COPP1,821.02,29300071.322,12.0,12.0,29300071.322,87920.657,29212150.665,35687.402648
2497,2019,IN,IN,CONST,BUSIN,940.46,29224170.489,12.0,12.0,29224170.489,180353.149,29043817.34,31074.336483
5401,2019,IN,IN,GASDI,BASIC,711.26,29070123.166,12.0,12.0,29070123.166,130575.079,28939548.087,40871.303273
10706,2019,IN,IN,RETA1,LANDT,1103.56,28978391.832,12.0,12.0,28978391.832,180065.934,28798325.898,26259.008873
9268,2019,IN,IN,PREC1,ELECT,1273.14,28723876.197,12.0,12.0,28723876.197,255675.796,28468200.4,22561.443515
7712,2019,IN,IN,NAPHT,CHEM1,585.27,28577325.753,12.0,12.0,28577325.753,124282.809,28453042.944,48827.59368
1,2019,IN,IN,93197,93197,1619.56,28531328.725,12.0,12.0,28531328.725,286520.042,28244808.682,17616.716099
8694,2019,IN,IN,PETRO,NONME,675.64,28452446.035,12.0,12.0,28452446.035,97119.831,28355326.204,42111.843637
1460,2019,IN,IN,BUSIN,OFFIC,861.17,28348785.325,12.0,12.0,28348785.325,163572.847,28185212.478,32918.918826
5393,2019,IN,IN,FURNI,WHOLE,709.68,28339361.991,12.0,12.0,28339361.991,121458.855,28217903.136,39932.592142
10748,2019,IN,IN,RETA1,PUBLI,808.34,28229306.842,12.0,12.0,28229306.842,108756.529,28120550.313,34922.565804
